checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default,age_group,loan_to_income,risk_flag
Missing,24,poor,business,8648,< 100 DM,< 1 year,2,2,27,bank,own,2,skilled,1,yes,1,Adult,4324.0,Normal
Missing,14,poor,car,802,< 100 DM,1 - 4 years,4,2,27,none,own,2,unskilled,1,no,0,Adult,200.5,Normal
1 - 200 DM,18,poor,car,2899,Missing,> 7 years,4,4,43,none,own,1,skilled,2,no,0,Middle Age,724.75,Normal
1 - 200 DM,24,good,furniture/appliances,2039,< 100 DM,< 1 year,1,1,22,none,own,1,skilled,1,yes,1,Young,2039.0,Normal
Missing,24,critical,car,2197,Missing,4 - 7 years,4,4,43,none,own,2,skilled,2,yes,0,Middle Age,549.25,Normal
< 0 DM,15,good,furniture/appliances,1053,< 100 DM,< 1 year,4,2,27,none,own,1,skilled,1,no,0,Adult,263.25,High Risk
Missing,24,good,furniture/appliances,3235,500 - 1000 DM,> 7 years,3,2,26,none,own,1,management,1,yes,0,Adult,1078.3333333333333,Normal
> 200 DM,12,critical,car,939,500 - 1000 DM,4 - 7 years,4,2,28,none,own,3,skilled,1,yes,1,Adult,234.75,Normal
1 - 200 DM,24,good,furniture/appliances,1967,< 100 DM,> 7 years,4,4,20,none,own,1,skilled,1,yes,0,Young,491.75,Normal
Missing,33,critical,car,7253,< 100 DM,4 - 7 years,3,2,35,none,own,2,management,1,yes,0,Adult,2417.6666666666665,Normal
Missing,12,critical,business,2292,< 100 DM,unemployed,4,2,42,store,own,2,management,1,yes,1,Middle Age,573.0,Normal
Missing,10,good,car,1597,500 - 1000 DM,1 - 4 years,3,2,40,none,rent,1,unskilled,2,no,0,Adult,532.3333333333334,Normal
< 0 DM,24,good,car,1381,Missing,1 - 4 years,4,2,35,none,own,1,skilled,1,no,1,Adult,345.25,Normal
Missing,36,critical,car,5842,< 100 DM,> 7 years,2,2,35,none,own,2,skilled,2,yes,0,Adult,2921.0,Normal
< 0 DM,12,good,car,2579,< 100 DM,< 1 year,4,1,33,none,own,1,unskilled,2,no,1,Adult,644.75,High Risk
< 0 DM,18,poor,education,8471,Missing,1 - 4 years,1,2,23,none,rent,2,skilled,1,yes,0,Young,8471.0,Normal
Missing,21,good,car,2782,500 - 1000 DM,4 - 7 years,1,2,31,bank,own,1,management,1,no,0,Adult,2782.0,Normal
1 - 200 DM,18,good,car,1042,Missing,1 - 4 years,4,2,33,none,own,1,skilled,1,no,1,Adult,260.5,Normal
Missing,15,good,car,3186,> 1000 DM,4 - 7 years,2,3,20,none,rent,1,skilled,1,no,0,Young,1593.0,Normal
1 - 200 DM,12,good,car,2028,Missing,1 - 4 years,4,2,30,none,own,1,skilled,1,no,0,Adult,507.0,Normal
1 - 200 DM,12,critical,car,958,< 100 DM,4 - 7 years,2,3,47,none,own,2,unskilled,2,no,0,Middle Age,479.0,Normal
Missing,21,poor,furniture/appliances,1591,100 - 500 DM,4 - 7 years,4,3,34,none,own,2,management,1,no,0,Adult,397.75,Normal
1 - 200 DM,12,good,furniture/appliances,2762,Missing,> 7 years,1,2,25,bank,own,1,skilled,1,yes,1,Young,2762.0,Normal
1 - 200 DM,18,good,car,2779,< 100 DM,1 - 4 years,1,3,21,none,rent,1,skilled,1,yes,0,Young,2779.0,Normal
Missing,28,critical,furniture/appliances,2743,< 100 DM,> 7 years,4,2,29,none,own,2,skilled,1,no,0,Adult,685.75,Normal
Missing,18,critical,furniture/appliances,1149,> 1000 DM,1 - 4 years,4,3,46,none,own,2,skilled,1,no,0,Middle Age,287.25,Normal
Missing,9,good,furniture/appliances,1313,< 100 DM,> 7 years,1,4,20,none,own,1,skilled,1,no,0,Young,1313.0,Normal
< 0 DM,18,critical,renovations,1190,< 100 DM,unemployed,2,4,55,none,other,3,unemployed,2,no,1,Middle Age,595.0,High Risk
Missing,5,good,business,3448,< 100 DM,4 - 7 years,1,4,74,none,own,1,unskilled,1,no,0,Senior,3448.0,Normal
1 - 200 DM,24,good,car0,11328,< 100 DM,1 - 4 years,2,3,29,bank,own,2,management,1,yes,1,Adult,5664.0,Normal
< 0 DM,6,critical,furniture/appliances,1872,< 100 DM,unemployed,4,4,36,none,other,3,management,1,yes,0,Adult,468.0,High Risk
Missing,24,critical,renovations,2058,< 100 DM,1 - 4 years,4,2,33,none,own,2,skilled,1,yes,0,Adult,514.5,Normal
< 0 DM,9,good,furniture/appliances,2136,< 100 DM,1 - 4 years,3,2,25,none,own,1,skilled,1,no,0,Young,712.0,High Risk
1 - 200 DM,12,good,furniture/appliances,1484,Missing,1 - 4 years,2,1,25,none,own,1,skilled,1,yes,1,Young,742.0,Normal
Missing,6,good,renovations,660,500 - 1000 DM,4 - 7 years,2,4,23,none,rent,1,unskilled,1,no,0,Young,330.0,Normal
Missing,24,critical,car,1287,> 1000 DM,> 7 years,4,4,37,none,own,2,skilled,1,yes,0,Adult,321.75,Normal
< 0 DM,42,critical,renovations,3394,< 100 DM,unemployed,4,4,65,none,own,2,unemployed,1,no,0,Senior,848.5,High Risk
> 200 DM,12,very good,business,609,< 100 DM,< 1 year,4,1,26,none,own,1,unemployed,1,no,1,Adult,152.25,Normal
Missing,12,good,car,1884,< 100 DM,> 7 years,4,4,39,none,own,1,management,1,yes,0,Adult,471.0,Normal
< 0 DM,12,good,furniture/appliances,1620,< 100 DM,1 - 4 years,2,3,30,none,own,1,skilled,1,no,0,Adult,810.0,High Risk
1 - 200 DM,20,poor,car0,2629,< 100 DM,1 - 4 years,2,3,29,bank,own,2,skilled,1,yes,0,Adult,1314.5,Normal
Missing,12,good,education,719,< 100 DM,> 7 years,4,4,41,bank,own,1,unskilled,2,no,1,Middle Age,179.75,Normal
1 - 200 DM,48,critical,furniture/appliances,5096,< 100 DM,1 - 4 years,2,3,30,none,own,1,management,1,yes,1,Adult,2548.0,Normal
Missing,9,critical,education,1244,Missing,> 7 years,4,4,41,none,rent,2,unskilled,1,no,0,Middle Age,311.0,Normal
< 0 DM,36,good,car,1842,< 100 DM,< 1 year,4,4,34,none,own,1,skilled,1,yes,1,Adult,460.5,High Risk
1 - 200 DM,7,good,furniture/appliances,2576,< 100 DM,1 - 4 years,2,2,35,none,own,1,skilled,1,no,0,Adult,1288.0,Normal
> 200 DM,12,good,furniture/appliances,1424,Missing,> 7 years,3,4,55,none,own,1,management,1,yes,0,Middle Age,474.6666666666667,Normal
1 - 200 DM,15,poor,renovations,1512,> 1000 DM,1 - 4 years,3,3,61,store,own,2,skilled,1,no,1,Senior,504.0,Normal
Missing,36,critical,car,11054,Missing,1 - 4 years,4,2,30,none,own,1,management,1,yes,0,Adult,2763.5,Normal
Missing,6,good,furniture/appliances,518,< 100 DM,1 - 4 years,3,1,29,none,own,1,skilled,1,no,0,Adult,172.66666666666666,Normal
Missing,12,perfect,furniture/appliances,2759,< 100 DM,> 7 years,2,4,34,none,own,2,skilled,1,no,0,Adult,1379.5,Normal
Missing,24,good,car,2670,< 100 DM,> 7 years,4,4,35,none,own,1,management,1,yes,0,Adult,667.5,Normal
< 0 DM,24,good,car,4817,< 100 DM,4 - 7 years,2,3,31,none,own,1,skilled,1,yes,1,Adult,2408.5,High Risk
Missing,24,good,car,2679,< 100 DM,< 1 year,4,1,29,none,own,1,management,1,yes,0,Adult,669.75,Normal
< 0 DM,11,critical,car,3905,< 100 DM,1 - 4 years,2,2,36,none,rent,2,skilled,2,no,0,Adult,1952.5,High Risk
< 0 DM,12,good,car,3386,< 100 DM,> 7 years,3,4,35,none,other,1,skilled,1,yes,1,Adult,1128.6666666666667,High Risk
< 0 DM,6,good,furniture/appliances,343,< 100 DM,< 1 year,4,1,27,none,own,1,skilled,1,no,0,Adult,85.75,High Risk
Missing,18,good,furniture/appliances,4594,< 100 DM,< 1 year,3,2,32,none,own,1,skilled,1,yes,0,Adult,1531.3333333333333,Normal
< 0 DM,36,good,furniture/appliances,3620,< 100 DM,1 - 4 years,1,2,37,none,own,1,skilled,2,no,0,Adult,3620.0,High Risk
< 0 DM,15,good,car,1721,< 100 DM,< 1 year,2,3,36,none,own,1,skilled,1,no,0,Adult,860.5,High Risk
1 - 200 DM,12,good,furniture/appliances,3017,< 100 DM,< 1 year,3,1,34,none,rent,1,management,1,no,0,Adult,1005.6666666666666,Normal
1 - 200 DM,12,good,education,754,Missing,> 7 years,4,4,38,none,own,2,skilled,1,no,0,Adult,188.5,Normal
Missing,18,good,business,1950,< 100 DM,4 - 7 years,4,1,34,store,own,2,skilled,1,yes,0,Adult,487.5,Normal
< 0 DM,24,good,car,2924,< 100 DM,1 - 4 years,3,4,63,bank,own,1,skilled,2,yes,0,Senior,974.6666666666666,High Risk
< 0 DM,24,poor,furniture/appliances,1659,< 100 DM,< 1 year,4,2,29,none,rent,1,unskilled,1,yes,1,Adult,414.75,High Risk
Missing,48,poor,furniture/appliances,7238,Missing,> 7 years,3,3,32,bank,own,2,skilled,2,no,0,Adult,2412.6666666666665,Normal
Missing,33,poor,business,2764,< 100 DM,1 - 4 years,2,2,26,none,own,2,skilled,1,yes,0,Adult,1382.0,Normal
Missing,24,poor,car,4679,< 100 DM,4 - 7 years,3,3,35,none,own,2,unskilled,1,yes,0,Adult,1559.6666666666667,Normal
1 - 200 DM,24,good,furniture/appliances,3092,100 - 500 DM,< 1 year,3,2,22,none,rent,1,skilled,1,yes,1,Young,1030.6666666666667,Normal
< 0 DM,6,good,education,448,< 100 DM,< 1 year,4,4,23,none,own,1,skilled,1,no,1,Young,112.0,High Risk
< 0 DM,9,good,car,654,< 100 DM,1 - 4 years,4,3,28,none,own,1,unskilled,1,no,1,Adult,163.5,High Risk
Missing,6,good,education,1238,Missing,unemployed,4,4,36,none,own,1,management,2,yes,0,Adult,309.5,Normal
1 - 200 DM,18,critical,furniture/appliances,1245,< 100 DM,1 - 4 years,4,2,33,none,own,1,skilled,1,no,1,Adult,311.25,Normal
< 0 DM,18,perfect,furniture/appliances,3114,< 100 DM,< 1 year,1,4,26,none,rent,1,skilled,1,no,1,Adult,3114.0,High Risk
Missing,39,good,car,2569,500 - 1000 DM,1 - 4 years,4,4,24,none,own,1,skilled,1,no,0,Young,642.25,Normal
> 200 DM,24,good,furniture/appliances,5152,< 100 DM,4 - 7 years,4,2,25,bank,own,1,skilled,1,no,0,Young,1288.0,Normal
1 - 200 DM,12,good,business,1037,100 - 500 DM,4 - 7 years,3,4,39,none,own,1,unskilled,1,no,0,Adult,345.6666666666667,Normal
< 0 DM,15,critical,furniture/appliances,1478,< 100 DM,> 7 years,4,4,44,none,own,2,skilled,2,yes,0,Middle Age,369.5,High Risk
1 - 200 DM,12,critical,furniture/appliances,3573,< 100 DM,1 - 4 years,1,1,23,none,own,1,unskilled,1,no,0,Young,3573.0,Normal
1 - 200 DM,24,good,car,1201,< 100 DM,< 1 year,4,1,26,none,own,1,skilled,1,no,0,Adult,300.25,Normal
< 0 DM,30,good,furniture/appliances,3622,> 1000 DM,> 7 years,4,4,57,none,rent,2,skilled,1,yes,0,Middle Age,905.5,Normal
Missing,15,poor,furniture/appliances,960,> 1000 DM,4 - 7 years,3,2,30,none,own,2,skilled,1,no,0,Adult,320.0,Normal
Missing,12,critical,car,1163,500 - 1000 DM,1 - 4 years,4,4,44,none,own,1,skilled,1,yes,0,Middle Age,290.75,Normal
1 - 200 DM,6,poor,car,1209,< 100 DM,unemployed,4,4,47,none,own,1,management,1,yes,1,Middle Age,302.25,Normal
Missing,12,good,furniture/appliances,3077,< 100 DM,1 - 4 years,2,4,52,none,own,1,skilled,1,yes,0,Middle Age,1538.5,Normal
Missing,24,good,car,3757,< 100 DM,> 7 years,4,4,62,none,other,1,skilled,1,yes,0,Senior,939.25,Normal
Missing,10,good,car,1418,100 - 500 DM,1 - 4 years,3,2,35,none,rent,1,unskilled,1,no,0,Adult,472.6666666666667,Normal
Missing,6,good,car,3518,< 100 DM,1 - 4 years,2,3,26,none,rent,1,skilled,1,no,0,Adult,1759.0,Normal
Missing,12,critical,furniture/appliances,1934,< 100 DM,> 7 years,2,2,26,none,own,2,skilled,1,no,0,Adult,967.0,Normal
1 - 200 DM,27,perfect,business,8318,< 100 DM,> 7 years,2,4,42,none,other,2,management,1,yes,1,Middle Age,4159.0,Normal
Missing,6,critical,furniture/appliances,1237,100 - 500 DM,1 - 4 years,1,1,27,none,own,2,skilled,1,no,0,Adult,1237.0,Normal
1 - 200 DM,6,good,furniture/appliances,368,Missing,> 7 years,4,4,38,none,own,1,skilled,1,no,0,Adult,92.0,Normal
< 0 DM,12,critical,car,2122,< 100 DM,1 - 4 years,3,2,39,none,rent,2,unskilled,2,no,0,Adult,707.3333333333334,High Risk
< 0 DM,24,good,furniture/appliances,2996,Missing,1 - 4 years,2,4,20,none,own,1,skilled,1,no,1,Young,1498.0,Normal
1 - 200 DM,36,good,furniture/appliances,9034,100 - 500 DM,< 1 year,4,1,29,none,rent,1,management,1,yes,1,Adult,2258.5,Normal
Missing,24,critical,furniture/appliances,1585,< 100 DM,4 - 7 years,4,3,40,none,own,2,skilled,1,no,0,Adult,396.25,Normal
1 - 200 DM,18,good,furniture/appliances,1301,< 100 DM,> 7 years,4,2,32,none,own,1,unskilled,1,no,0,Adult,325.25,Normal
> 200 DM,6,critical,car,1323,100 - 500 DM,> 7 years,2,4,28,none,own,2,skilled,2,yes,0,Adult,661.5,Normal
< 0 DM,24,good,car,3123,< 100 DM,< 1 year,4,1,27,none,own,1,skilled,1,no,1,Adult,780.75,High Risk
< 0 DM,36,good,car,5493,< 100 DM,> 7 years,2,4,42,none,other,1,skilled,2,no,0,Middle Age,2746.5,High Risk
> 200 DM,9,good,furniture/appliances,1126,100 - 500 DM,> 7 years,2,4,49,none,own,1,skilled,1,no,0,Middle Age,563.0,Normal
1 - 200 DM,24,critical,furniture/appliances,1216,100 - 500 DM,< 1 year,4,4,38,bank,own,2,skilled,2,no,1,Adult,304.0,Normal
< 0 DM,24,good,car,1207,< 100 DM,< 1 year,4,4,24,none,rent,1,skilled,1,no,1,Young,301.75,High Risk
Missing,10,good,car,1309,Missing,1 - 4 years,4,4,27,none,own,1,unskilled,1,no,1,Adult,327.25,Normal
> 200 DM,15,critical,car,2360,500 - 1000 DM,1 - 4 years,2,2,36,none,own,1,skilled,1,yes,0,Adult,1180.0,Normal
1 - 200 DM,15,very good,car,6850,100 - 500 DM,unemployed,1,2,34,none,own,1,management,2,yes,1,Adult,6850.0,Normal
Missing,24,good,furniture/appliances,1413,< 100 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,no,0,Adult,353.25,Normal
Missing,39,good,car,8588,100 - 500 DM,> 7 years,4,2,45,none,own,1,management,1,yes,0,Middle Age,2147.0,Normal
< 0 DM,12,good,car,759,< 100 DM,4 - 7 years,4,2,26,none,own,1,skilled,1,no,1,Adult,189.75,High Risk
Missing,36,good,car,4686,< 100 DM,1 - 4 years,2,2,32,none,other,1,management,1,yes,0,Adult,2343.0,Normal
> 200 DM,15,good,business,2687,< 100 DM,4 - 7 years,2,4,26,none,rent,1,skilled,1,yes,0,Adult,1343.5,Normal
1 - 200 DM,12,poor,furniture/appliances,585,< 100 DM,1 - 4 years,4,4,20,none,rent,2,skilled,1,no,0,Young,146.25,Normal
Missing,24,good,car,2255,Missing,< 1 year,4,1,54,none,own,1,skilled,1,no,0,Middle Age,563.75,Normal
< 0 DM,6,critical,car,609,< 100 DM,4 - 7 years,4,3,37,none,own,2,skilled,1,no,0,Adult,152.25,High Risk
< 0 DM,6,critical,car,1361,< 100 DM,< 1 year,2,4,40,none,own,1,unskilled,2,no,0,Adult,680.5,High Risk
Missing,36,critical,furniture/appliances,7127,< 100 DM,< 1 year,2,4,23,none,rent,2,skilled,1,yes,1,Young,3563.5,Normal
< 0 DM,6,good,car,1203,100 - 500 DM,> 7 years,3,2,43,none,own,1,skilled,1,yes,0,Middle Age,401.0,Normal
Missing,6,critical,furniture/appliances,700,Missing,> 7 years,4,4,36,none,other,2,skilled,1,no,0,Adult,175.0,Normal
Missing,24,critical,renovations,5507,< 100 DM,> 7 years,3,4,44,none,other,2,skilled,1,no,0,Middle Age,1835.6666666666667,Normal
< 0 DM,18,good,furniture/appliances,3190,< 100 DM,1 - 4 years,2,2,24,none,own,1,skilled,1,no,1,Young,1595.0,High Risk
< 0 DM,48,perfect,furniture/appliances,7119,< 100 DM,1 - 4 years,3,4,53,none,other,2,skilled,2,no,1,Middle Age,2373.0,High Risk
Missing,24,good,car,3488,100 - 500 DM,4 - 7 years,3,4,23,none,own,1,skilled,1,no,0,Young,1162.6666666666667,Normal
1 - 200 DM,18,good,furniture/appliances,1113,< 100 DM,1 - 4 years,4,4,26,none,own,1,unskilled,2,no,0,Adult,278.25,Normal
1 - 200 DM,26,good,car,7966,< 100 DM,< 1 year,2,3,30,none,own,2,skilled,1,no,0,Adult,3983.0,Normal
Missing,15,critical,education,1532,100 - 500 DM,1 - 4 years,4,3,31,none,own,1,skilled,1,no,0,Adult,383.0,Normal
Missing,4,critical,furniture/appliances,1503,< 100 DM,4 - 7 years,2,1,42,none,own,2,unskilled,2,no,0,Middle Age,751.5,Normal
< 0 DM,36,good,furniture/appliances,2302,< 100 DM,1 - 4 years,4,4,31,none,rent,1,skilled,1,no,1,Adult,575.5,High Risk
< 0 DM,6,good,car,662,< 100 DM,< 1 year,3,4,41,none,own,1,unskilled,2,yes,0,Middle Age,220.66666666666666,High Risk
1 - 200 DM,36,good,education,2273,< 100 DM,4 - 7 years,3,1,32,none,own,2,skilled,2,no,0,Adult,757.6666666666666,Normal
1 - 200 DM,15,good,car,2631,100 - 500 DM,1 - 4 years,2,4,28,none,rent,2,skilled,1,yes,1,Adult,1315.5,Normal
Missing,12,poor,car,1503,< 100 DM,1 - 4 years,4,4,41,none,rent,1,skilled,1,no,0,Middle Age,375.75,Normal
Missing,24,good,furniture/appliances,1311,100 - 500 DM,4 - 7 years,4,3,26,none,own,1,skilled,1,yes,0,Adult,327.75,Normal
Missing,24,good,furniture/appliances,3105,Missing,< 1 year,4,2,25,none,own,2,skilled,1,no,0,Young,776.25,Normal
> 200 DM,21,critical,education,2319,< 100 DM,< 1 year,2,1,33,none,rent,1,skilled,1,no,1,Adult,1159.5,Normal
< 0 DM,6,good,car,1374,Missing,unemployed,4,3,75,none,own,1,management,1,yes,0,Senior,343.5,Normal
1 - 200 DM,18,critical,furniture/appliances,3612,< 100 DM,> 7 years,3,4,37,none,own,1,skilled,1,yes,0,Adult,1204.0,Normal
< 0 DM,48,good,car,7763,< 100 DM,> 7 years,4,4,42,bank,other,1,management,1,no,1,Middle Age,1940.75,High Risk
> 200 DM,18,good,furniture/appliances,3049,< 100 DM,< 1 year,1,1,45,store,own,1,unskilled,1,no,0,Middle Age,3049.0,Normal
1 - 200 DM,12,good,furniture/appliances,1534,< 100 DM,< 1 year,1,1,23,none,rent,1,skilled,1,no,1,Young,1534.0,Normal
Missing,24,poor,car,2032,< 100 DM,> 7 years,4,4,60,none,other,2,skilled,1,yes,0,Middle Age,508.0,Normal
< 0 DM,30,good,furniture/appliances,6350,Missing,> 7 years,4,4,31,none,own,1,skilled,1,no,1,Adult,1587.5,Normal
> 200 DM,18,good,furniture/appliances,2864,< 100 DM,1 - 4 years,2,1,34,none,own,1,unskilled,2,no,1,Adult,1432.0,Normal
Missing,12,critical,car,1255,< 100 DM,> 7 years,4,4,61,none,own,2,unskilled,1,no,0,Senior,313.75,Normal
< 0 DM,24,poor,car,1333,< 100 DM,unemployed,4,2,43,none,other,2,skilled,2,no,1,Middle Age,333.25,High Risk
Missing,24,critical,car,2022,< 100 DM,1 - 4 years,4,4,37,none,own,1,skilled,1,yes,0,Adult,505.5,Normal
Missing,24,good,furniture/appliances,1552,< 100 DM,4 - 7 years,3,1,32,bank,own,1,skilled,2,no,0,Adult,517.3333333333334,Normal
< 0 DM,12,very good,furniture/appliances,626,< 100 DM,1 - 4 years,4,4,24,bank,own,1,unskilled,1,no,1,Young,156.5,High Risk
Missing,48,critical,car,8858,Missing,4 - 7 years,2,1,35,none,other,2,skilled,1,yes,0,Adult,4429.0,Normal
Missing,12,critical,renovations,996,Missing,4 - 7 years,4,4,23,none,own,2,skilled,1,no,0,Young,249.0,Normal
Missing,6,very good,furniture/appliances,1750,500 - 1000 DM,> 7 years,2,4,45,bank,own,1,unskilled,2,no,0,Middle Age,875.0,Normal
< 0 DM,48,good,furniture/appliances,6999,< 100 DM,4 - 7 years,1,1,34,none,own,2,skilled,1,yes,1,Adult,6999.0,High Risk
1 - 200 DM,12,critical,car,1995,100 - 500 DM,< 1 year,4,1,27,none,own,1,skilled,1,no,0,Adult,498.75,Normal
1 - 200 DM,9,good,education,1199,< 100 DM,4 - 7 years,4,4,67,none,own,2,management,1,yes,0,Senior,299.75,Normal
1 - 200 DM,12,good,furniture/appliances,1331,< 100 DM,< 1 year,2,1,22,store,own,1,skilled,1,no,1,Young,665.5,Normal
1 - 200 DM,18,perfect,car,2278,100 - 500 DM,< 1 year,3,3,28,none,own,2,skilled,1,no,1,Adult,759.3333333333334,Normal
Missing,21,perfect,car,5003,Missing,1 - 4 years,1,4,29,bank,own,2,skilled,1,yes,1,Adult,5003.0,Normal
< 0 DM,24,very good,furniture/appliances,3552,< 100 DM,4 - 7 years,3,4,27,bank,own,1,skilled,1,no,1,Adult,1184.0,High Risk
1 - 200 DM,18,critical,furniture/appliances,1928,< 100 DM,< 1 year,2,2,31,none,own,2,unskilled,1,no,1,Adult,964.0,Normal
< 0 DM,24,good,car,2964,Missing,> 7 years,4,4,49,bank,other,1,skilled,2,yes,0,Middle Age,741.0,Normal
< 0 DM,24,very good,furniture/appliances,1546,< 100 DM,4 - 7 years,4,4,24,bank,rent,1,unskilled,1,no,1,Young,386.5,High Risk
> 200 DM,6,poor,furniture/appliances,683,< 100 DM,< 1 year,2,1,29,bank,own,1,skilled,1,no,0,Adult,341.5,Normal
1 - 200 DM,36,good,car,12389,Missing,1 - 4 years,1,4,37,none,other,1,skilled,1,yes,1,Adult,12389.0,Normal
1 - 200 DM,24,poor,business,4712,Missing,1 - 4 years,4,2,37,bank,own,2,management,1,yes,0,Adult,1178.0,Normal
1 - 200 DM,24,poor,furniture/appliances,1553,100 - 500 DM,4 - 7 years,3,2,23,none,rent,2,skilled,1,yes,0,Young,517.6666666666666,Normal
< 0 DM,12,good,car,1372,< 100 DM,4 - 7 years,2,3,36,none,own,1,skilled,1,no,1,Adult,686.0,High Risk
Missing,24,critical,furniture/appliances,2578,> 1000 DM,> 7 years,2,2,34,none,own,1,skilled,1,no,0,Adult,1289.0,Normal
1 - 200 DM,48,good,furniture/appliances,3979,Missing,4 - 7 years,4,1,41,none,own,2,skilled,2,yes,0,Middle Age,994.75,Normal
< 0 DM,48,good,furniture/appliances,6758,< 100 DM,1 - 4 years,3,2,31,none,own,1,skilled,1,yes,1,Adult,2252.6666666666665,High Risk
< 0 DM,24,good,furniture/appliances,3234,< 100 DM,< 1 year,4,4,23,none,rent,1,unskilled,1,yes,1,Young,808.5,High Risk
Missing,30,critical,furniture/appliances,5954,< 100 DM,4 - 7 years,3,2,38,none,own,1,skilled,1,no,0,Adult,1984.6666666666667,Normal
Missing,24,good,car,5433,Missing,unemployed,2,4,26,none,rent,1,management,1,yes,0,Adult,2716.5,Normal
< 0 DM,15,good,business,806,< 100 DM,1 - 4 years,4,4,22,none,own,1,unskilled,1,no,0,Young,201.5,High Risk
1 - 200 DM,9,good,furniture/appliances,1082,< 100 DM,> 7 years,4,4,27,none,own,2,unskilled,1,no,0,Adult,270.5,Normal
Missing,15,critical,furniture/appliances,2788,< 100 DM,4 - 7 years,2,3,24,bank,own,2,skilled,1,no,0,Young,1394.0,Normal
1 - 200 DM,12,good,furniture/appliances,2930,< 100 DM,4 - 7 years,2,1,27,none,own,1,skilled,1,no,0,Adult,1465.0,Normal
Missing,24,critical,education,1927,Missing,1 - 4 years,3,2,33,none,own,2,skilled,1,yes,0,Adult,642.3333333333334,Normal
1 - 200 DM,36,critical,car,2820,< 100 DM,< 1 year,4,4,27,none,own,2,skilled,1,no,1,Adult,705.0,Normal
Missing,24,good,education,937,< 100 DM,< 1 year,4,3,27,none,own,2,unskilled,1,no,0,Adult,234.25,Normal
1 - 200 DM,18,critical,car,1056,< 100 DM,> 7 years,3,3,30,bank,own,2,skilled,1,no,1,Adult,352.0,Normal
1 - 200 DM,12,critical,car,3124,< 100 DM,< 1 year,1,3,49,bank,own,2,unskilled,2,no,0,Middle Age,3124.0,Normal
Missing,9,good,furniture/appliances,1388,< 100 DM,1 - 4 years,4,2,26,none,rent,1,skilled,1,no,0,Adult,347.0,Normal
1 - 200 DM,36,good,renovations,2384,< 100 DM,< 1 year,4,1,33,none,rent,1,unskilled,1,no,1,Adult,596.0,Normal
Missing,12,good,car,2133,Missing,> 7 years,4,4,52,none,other,1,management,1,yes,0,Middle Age,533.25,Normal
< 0 DM,18,good,furniture/appliances,2039,< 100 DM,1 - 4 years,1,4,20,bank,rent,1,skilled,1,no,1,Young,2039.0,High Risk
< 0 DM,9,critical,car,2799,< 100 DM,1 - 4 years,2,2,36,none,rent,2,skilled,2,no,0,Adult,1399.5,High Risk
< 0 DM,12,good,furniture/appliances,1289,< 100 DM,1 - 4 years,4,1,21,none,own,1,unskilled,1,no,0,Young,322.25,High Risk
< 0 DM,18,good,furniture/appliances,1217,< 100 DM,1 - 4 years,4,3,47,none,own,1,unskilled,1,yes,1,Middle Age,304.25,High Risk
< 0 DM,12,critical,furniture/appliances,2246,< 100 DM,> 7 years,3,3,60,none,own,2,skilled,1,no,1,Middle Age,748.6666666666666,High Risk
< 0 DM,12,critical,furniture/appliances,385,< 100 DM,4 - 7 years,4,3,58,none,own,4,unskilled,1,yes,0,Middle Age,96.25,High Risk
1 - 200 DM,24,poor,car,1965,Missing,1 - 4 years,4,4,42,none,rent,2,skilled,1,yes,0,Middle Age,491.25,Normal
Missing,21,good,business,1572,> 1000 DM,> 7 years,4,4,36,bank,own,1,unskilled,1,no,0,Adult,393.0,Normal
1 - 200 DM,24,good,car,2718,< 100 DM,1 - 4 years,3,4,20,none,rent,1,unskilled,1,yes,1,Young,906.0,Normal
< 0 DM,24,very good,car0,1358,Missing,> 7 years,4,3,40,store,own,1,management,1,yes,1,Adult,339.5,Normal
1 - 200 DM,6,very good,car,931,100 - 500 DM,< 1 year,1,1,32,store,own,1,unskilled,1,no,1,Adult,931.0,Normal
< 0 DM,24,good,car,1442,< 100 DM,4 - 7 years,4,4,23,none,rent,2,skilled,1,no,1,Young,360.5,High Risk
1 - 200 DM,24,perfect,business,4241,< 100 DM,1 - 4 years,1,4,36,none,own,3,unskilled,1,yes,1,Adult,4241.0,Normal
Missing,18,critical,car,2775,< 100 DM,4 - 7 years,2,2,31,bank,own,2,skilled,1,no,1,Adult,1387.5,Normal
Missing,24,poor,business,3863,< 100 DM,1 - 4 years,1,2,32,none,other,1,skilled,1,no,0,Adult,3863.0,Normal
1 - 200 DM,7,good,furniture/appliances,2329,< 100 DM,< 1 year,1,1,45,none,own,1,skilled,1,no,0,Middle Age,2329.0,Normal
1 - 200 DM,9,good,furniture/appliances,918,< 100 DM,1 - 4 years,4,1,30,none,own,1,skilled,1,no,1,Adult,229.5,Normal
1 - 200 DM,24,very good,education,1837,< 100 DM,4 - 7 years,4,4,34,bank,other,1,unskilled,1,no,1,Adult,459.25,Normal
Missing,36,good,furniture/appliances,3349,< 100 DM,1 - 4 years,4,2,28,none,own,1,management,1,yes,1,Adult,837.25,Normal
> 200 DM,10,good,furniture/appliances,1275,< 100 DM,< 1 year,4,2,23,none,own,1,skilled,1,no,0,Young,318.75,Normal
